"Delta.M1","Delta.Inter","Delta.COV","Usa_Vel","Primavera_flag","Delta.prima","Sazo.Cycle","Delta.sazo","Delay","Error"
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,4,0.182314592313621
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,11,0.182360841061037
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,3,0.183649805117465
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,11,0.183826604008789
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,4,0.183829922199415
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,11,0.183895205466561
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,11,0.183900696105883
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,4,0.184229376085627
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,11,0.184350294944479
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,5,0.184424074928826
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,6,0.184798908479396
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,12,0.184824547395901
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,1,0.184943752830731
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,2,0.185287252843495
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,11,0.185299171207749
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,7,0.185321588207418
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,3,0.185439169255545
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,11,0.185581742781875
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,4,0.185640368757159
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,3,0.185695867928972
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,10,0.18575170462779
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,4,0.185799429123673
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,8,0.185839406823379
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,0,0.186061897411375
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,5,0.186130131546326
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,11,0.186203942157422
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,5,0.186241305357979
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,6,0.186246816560544
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,12,0.186273794469804
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,12,0.186382153908743
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,12,0.186400435672268
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,4,0.18643754330463
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,1,0.186675551131881
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,12,0.186691398158063
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,7,0.186704060604656
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,6,0.186765054532215
0.96,1,1,TRUE,"Sem",0.95,"Anual",1,9,0.186982219431349
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,10,0.18703702188244
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,2,0.187142229771629
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,1,0.18715523923917
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,11,0.187170804577927
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,2,0.187177591658009
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,0,0.187180787029674
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,8,0.187195521945311
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,4,0.187279560672784
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.97,11,0.18734282485961
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,3,0.187352437645938
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,7,0.187578512454246
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,3,0.187615247866319
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,10,0.187705543917878
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,3,0.187720460156715
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,10,0.187757506255415
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,12,0.187758399026916
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,11,0.187805244437228
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,4,0.187869474837452
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,10,0.187884040667843
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,5,0.187898862093196
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,12,0.187941938402514
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,6,0.18803219938936
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,11,0.188037883979087
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,11,0.188063466110009
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,5,0.188118002986625
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,6,0.188230991529709
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,8,0.188295407187227
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,4,0.188316439700194
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,12,0.188483506450105
0.94,1,1,TRUE,"Sem",0.95,"Anual",1,0,0.188496758870146
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,7,0.188513361443959
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,5,0.188527117897001
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.99,9,0.188557747460431
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,4,0.18865497019954
0.9,1,1,TRUE,"Sem",0.95,"Anual",1,4,0.18871367814455
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,1,0.188764885645316
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.96,11,0.188819409193818
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,4,0.188833347561316
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,1,0.188850201488138
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,2,0.188916518106466
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,1,0.188928033051782
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,10,0.188950607963112
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,9,0.188971736966974
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,3,0.188973291819104
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,10,0.188973640067552
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,8,0.189002265520273
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,8,0.189006693075948
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,11,0.189020543513326
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,7,0.189027634162535
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,2,0.189085116206283
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,0,0.189139890525711
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.98,4,0.189168505346622
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,4,0.189184527053527
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,4,0.189184527053527
