"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"Error"
1;0,93;1;1;8;0;0,144459043560242
1;0,92;1;1;8;0;0,144524815454632
1;0,93;0,99;1;8;0;0,144623010037429
1;0,92;0,99;1;8;0;0,144762277514571
1;0,93;0,98;1;8;0;0,144806599540454
1;0,91;1;1;8;0;0,144812884807297
1;0,94;0,98;1;8;0;0,144818407266442
1;0,94;0,99;1;8;0;0,144829804119314
1;0,94;1;1;8;0;0,144847856408293
1;0,94;0,97;1;8;0;0,144877668376939
1;0,91;1;0,99;8;0;0,144979446283436
1;0,93;0,97;1;8;0;0,145004770095634
1;0,92;0,98;1;8;0;0,145007244996928
1;0,95;0,96;1;8;0;0,145017122031112
1;0,95;0,95;1;8;0;0,145024688124712
1;0,94;0,96;1;8;0;0,145032204773018
1;0,92;1;0,99;8;0;0,145036593792447
1;1;0,9;1;8;0;0,145061697400037
1;1;0,89;1;8;0;0,145066503900295
1;0,95;0,97;1;8;0;0,145070282475282
1;0,96;0,94;1;8;0;0,145083372692343
1;1;0,91;1;8;0;0,145094286806777
1;0,96;0,93;1;8;0;0,14510213099574
1;0,92;0,99;0,99;8;0;0,145112500305245
1;0,97;0,92;1;8;0;0,145114023288658
1;0,96;0,95;1;8;0;0,145136429583561
1;0,97;0,93;1;8;0;0,145139950631698
1;0,99;0,9;1;8;0;0,145142796617489
1;0,95;0,98;1;8;0;0,145156282046233
1;0,99;0,91;1;8;0;0,145156651072115
1;0,91;0,99;1;8;0;0,145158504082869
1;0,91;0,99;0,99;8;0;0,145159153196995
1;0,98;0,91;1;8;0;0,145161827537911
1;1;0,92;1;8;0;0,145167005106065
1;0,95;0,94;1;8;0;0,145168990933578
1;0,9;1;0,99;8;0;0,145182046350567
1;0,98;0,92;1;8;0;0,145187394830926
1;0,92;0,98;0,99;8;0;0,145189410392059
1;0,97;0,91;1;8;0;0,145204896428014
1;0,94;0,95;1;8;0;0,145208413977334
1;0,97;0,94;1;8;0;0,145209674962993
1;0,99;0,92;1;8;0;0,145210624600448
1;1;0,88;1;8;0;0,145210723743415
1;0,93;0,96;1;8;0;0,145222073652663
1;0,98;0,9;1;8;0;0,145224745921626
1;0,99;0,89;1;8;0;0,145228477280036
1;0,96;0,96;1;8;0;0,145233043959363
1;0,96;0,92;1;8;0;0,145249838801887
1;0,98;0,93;1;8;0;0,145255497122726
1;0,95;0,99;1;8;0;0,145265751772103
1;0,9;1;1;8;0;0,145305365965058
1;0,99;0,93;1;8;0;0,145310032626731
1;1;0,93;1;8;0;0,145319823285515
1;0,97;0,95;1;8;0;0,145325298297934
1;0,92;0,97;0,99;8;0;0,145331149995989
1;0,92;0,97;1;8;0;0,145331794723703
1;0,95;0,93;1;8;0;0,14533591617877
1;0,97;0,9;1;8;0;0,145364216474063
1;0,91;0,98;0,99;8;0;0,145378202017353
1;1;0,87;1;8;0;0,145378729870151
1;0,98;0,94;1;8;0;0,145380197968222
1;0,98;0,89;1;8;0;0,145382190126462
1;0,96;0,97;1;8;0;0,145382564010842
1;0,99;0,88;1;8;0;0,145389364855558
1;0,93;0,99;0,99;8;0;0,145390463320088
1;0,93;0,98;0,99;8;0;0,145391180137281
1;0,93;0,97;0,99;8;0;0,145404824899568
1;0,94;0,94;1;8;0;0,145406380040571
1;0,93;1;0,99;8;0;0,145418108387478
