"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"MSE"
1;1;0,85;1;8;0;76,4331236243459
1;1;0,84;1;8;0;76,435034946516
1;1;0,85;0,99;8;0;76,443863215326
1;1;0,84;0,99;8;0;76,4461585084791
1;1;0,85;0,98;8;0;76,4554373651609
1;1;0,84;0,98;8;0;76,4581495624566
1;1;0,86;1;8;0;76,4629939871409
1;1;0,83;1;8;0;76,4649512958145
1;1;0,85;0,97;8;0;76,467930135934
1;1;0,84;0,97;8;0;76,4710940365542
1;1;0,86;0,99;8;0;76,473412311155
1;1;0,83;0,99;8;0;76,476516020838
1;1;0,85;0,96;8;0;76,4814337138903
1;1;0,86;0,98;8;0;76,4846358088257
1;1;0,84;0,96;8;0;76,4850858561161
1;1;0,83;0,98;8;0;76,48898424827
1;1;0,85;0,95;8;0;76,4960491060806
1;1;0,86;0,97;8;0;76,4967467689463
1;1;0,84;0,95;8;0;76,5002275800158
1;1;0,83;0,97;8;0;76,5024438326856
1;0,99;0,85;1;8;0;76,504051984931
1;1;0,86;0,96;8;0;76,5098357255817
1;1;0,85;0,94;8;0;76,5118868966116
1;0,99;0,85;0,99;8;0;76,5149635297857
1;1;0,84;0,94;8;0;76,5166310886861
1;1;0,83;0,96;8;0;76,5169904921549
1;0,99;0,86;1;8;0;76,5178349224044
1;1;0,82;1;8;0;76,5196312216805
1;0,99;0,84;1;8;0;76,5204488926707
1;1;0,86;0,95;8;0;76,5240022168673
1;0,99;0,85;0,98;8;0;76,5267277409707
1;0,99;0,86;0,99;8;0;76,5283978374959
1;1;0,87;1;8;0;76,529052852277
1;1;0,85;0,93;8;0;76,52906807466
1;1;0,82;0,99;8;0;76,5316893607615
1;0,99;0,84;0,99;8;0;76,5317666124059
1;1;0,83;0,95;8;0;76,532728386006
1;1;0,84;0,93;8;0;76,5344183365571
1;1;0,87;0,99;8;0;76,5392184709492
1;1;0,86;0,94;8;0;76,5393556124778
1;0,99;0,85;0,97;8;0;76,5394298150259
1;0,99;0,86;0,98;8;0;76,5397823892812
1;0,99;0,84;0,98;8;0;76,5439712018821
1;1;0,82;0,98;8;0;76,5446896519103
1;1;0,85;0,92;8;0;76,5477249505684
1;1;0,83;0,94;8;0;76,5497707375973
1;1;0,87;0,98;8;0;76,5501639260364
1;0,99;0,86;0,97;8;0;76,5520719564454
1;0,99;0,85;0,96;8;0;76,5531630087631
1;1;0,84;0,92;8;0;76,5537221860362
1;1;0,86;0,93;8;0;76,5560160216958
1;0,99;0,84;0,97;8;0;76,5571497528489
1;1;0,82;0,97;8;0;76,5587219021103
1;1;0,87;0,97;8;0;76,5619698547299
1;0,99;0,83;1;8;0;76,5633945502979
1;0,99;0,86;0,96;8;0;76,5653581011614
1;0,99;0,87;1;8;0;76,566049251961
1;1;0,85;0,91;8;0;76,5680021811949
1;0,99;0,85;0,95;8;0;76,5680293036274
1;1;0,83;0,93;8;0;76,5682405155257
1;0,99;0,84;0,96;8;0;76,5713972894927
1;1;0,82;0,96;8;0;76,5738836395909
1;1;0,86;0,92;8;0;76,5741152978858
1;1;0,84;0,91;8;0;76,5746873453108
1;1;0,87;0,96;8;0;76,5747252548246
1;0,99;0,83;0,99;8;0;76,5751707892501
1;0,99;0,87;0,99;8;0;76,5763268989491
1;0,98;0,86;1;8;0;76,5791646627575
1;0,99;0,86;0,95;8;0;76,5797412942931
1;0,99;0,85;0,94;8;0;76,5841401255832
1;0,99;0,84;0,95;8;0;76,5868173739436
1;0,99;0,87;0,98;8;0;76,5873988226304
1;0,98;0,85;1;8;0;76,5875813241378
1;0,99;0,83;0,98;8;0;76,5878708216813
1;1;0,83;0,92;8;0;76,5882711914864
1;1;0,87;0,95;8;0;76,5885283074899
1;0,98;0,86;0,99;8;0;76,5899758897429
1;1;0,85;0,9;8;0;76,5900579310597
1;1;0,82;0,95;8;0;76,5902806349512
1;1;0,86;0,91;8;0;76,5937981597561
1;0,99;0,86;0,94;8;0;76,5953317044547
1;1;0,81;1;8;0;76,5962865442478
1;1;0,84;0,9;8;0;76,5974714378437
1;0,98;0,85;0,99;8;0;76,598776011534
1;0,99;0,87;0,97;8;0;76,5993466929279
1;0,99;0,83;0,97;8;0;76,6015836778858
1;0,99;0,85;0,93;8;0;76,6016171328759
1;0,98;0,86;0,98;8;0;76,6016364206047
1;0,98;0,87;1;8;0;76,6027921500015
1;1;0,87;0,94;8;0;76,6034872790874
1;0,99;0,84;0,94;8;0;76,6035227601123
1;1;0,82;0,94;8;0;76,6080274616869
1;1;0,81;0,99;8;0;76,6088859979145
1;1;0,83;0,91;8;0;76,6100075984333
1;0,98;0,85;0,98;8;0;76,6108531001577
1;0,99;0,86;0,93;8;0;76,6122500628891
1;0,99;0,87;0,96;8;0;76,6122604824554
1;0,98;0,87;0,99;8;0;76,6132754574533
1;1;0,85;0,89;8;0;76,6140652013868
1;0,98;0,86;0,97;8;0;76,6142314223723
1;1;0,86;0,9;8;0;76,6152234549338
1;0,99;0,83;0,96;8;0;76,6164061866626
1;1;0,87;0,93;8;0;76,6197215140728
1;0,99;0,85;0,92;8;0;76,6205930883006
1;0,99;0,84;0,93;8;0;76,6216361088582
1;1;0,84;0,89;8;0;76,6222462371307
1;1;0,81;0,98;8;0;76,6224684833543
1;0,98;0,85;0,97;8;0;76,6238996356154
1;0,98;0,84;1;8;0;76,6240359039841
1;0,98;0,87;0,98;8;0;76,6245780666906
1;0,99;0,87;0,95;8;0;76,6262392545432
1;1;0,82;0,93;8;0;76,6272481105234
1;0,98;0,86;0,96;8;0;76,627854148622
1;0,99;0,82;1;8;0;76,6297815091559
1;0,99;0,86;0,92;8;0;76,6306286201011
1;0,99;0,83;0,95;8;0;76,6324435239877
1;1;0,83;0,9;8;0;76,6336069185029
1;0,98;0,84;0,99;8;0;76,635664194162
1;1;0,88;1;8;0;76,6364457579484
1;0,98;0,87;0,97;8;0;76,636783353037
1;1;0,81;0,97;8;0;76,637125750195
1;1;0,87;0,92;8;0;76,6373625346193
1;0,98;0,85;0,96;8;0;76,6380106266067
1;1;0,86;0,89;8;0;76,6385655967817
1;1;0,85;0,88;8;0;76,6402133644448
1;0,99;0,85;0,91;8;0;76,641212837575
1;0,99;0,84;0,92;8;0;76,6412907820841
1;0,99;0,87;0,94;8;0;76,64139202469
1;0,99;0,82;0,99;8;0;76,6420640762499
1;0,98;0,86;0,95;8;0;76,6426066147162
1;1;0,88;0,99;8;0;76,6464328173263
1;1;0,82;0,92;8;0;76,6480766770794
1;0,98;0,84;0,98;8;0;76,6482106075275
1;1;0,84;0,88;8;0;76,6491991056133
1;0,99;0,83;0,94;8;0;76,6498098039203
1;0,98;0,87;0,96;8;0;76,6499829001053
1;0,99;0,86;0,91;8;0;76,6506122148771
1;1;0,81;0,96;8;0;76,652957116524
1;0,98;0,85;0,95;8;0;76,6532896613932
1;0,99;0,88;1;8;0;76,6536795207995
1;0,99;0,82;0,98;8;0;76,6553096661818
1;0,97;0,87;1;8;0;76,6560755530493
1;1;0,87;0,91;8;0;76,6565552669269
1;1;0,88;0,98;8;0;76,657178935332
1;0,99;0,87;0,93;8;0;76,6578387073053
1;0,98;0,86;0,94;8;0;76,65860033067
1;1;0,83;0,89;8;0;76,659239835974
1;0,98;0,84;0,97;8;0;76,6617641200546
1;0,99;0,84;0,91;8;0;76,6626317386126
1;0,98;0,88;1;8;0;76,6631663600981
1;0,99;0,85;0,9;8;0;76,6636344208712
1;0,99;0,88;0,99;8;0;76,6637413707237
1;1;0,86;0,88;8;0;76,6640162106421
1;0,98;0,87;0,95;8;0;76,6642772361053
1;0,97;0,86;1;8;0;76,6650037791102
1;0,97;0,87;0,99;8;0;76,6669027419038
1;0,99;0,83;0,93;8;0;76,6686287256195
1;1;0,85;0,87;8;0;76,6687099450834
1;1;0,88;0,97;8;0;76,6687632441465
1;0,99;0,82;0,97;8;0;76,66960925599
1;0,98;0,85;0,94;8;0;76,6698495744956
1;1;0,81;0,95;8;0;76,6700699353774
1;1;0,82;0,91;8;0;76,670658148098
1;0,99;0,86;0,9;8;0;76,6723594815465
1;0,98;0,88;0,99;8;0;76,6733834325817
1;0,99;0,88;0,98;8;0;76,674574338333
1;0,99;0,87;0,92;8;0;76,6757111633163
1;0,98;0,86;0,93;8;0;76,6759571038732
1;0,97;0,86;0,99;8;0;76,6762044520694
1;0,98;0,84;0,96;8;0;76,6764215441638
1;1;0,87;0,9;8;0;76,6774594190944
1;1;0,84;0,87;8;0;76,6785346810162
1;0,97;0,87;0,98;8;0;76,6785899356593
1;0,98;0,87;0,94;8;0;76,6797766363011
1;0,97;0,88;1;8;0;76,6804397955439
1;1;0,88;0,96;8;0;76,6812733450368
1;0,9;1;1;8;0;76,6823921695908
1;0,98;0,88;0,98;8;0;76,6843934286342
1;0,99;0,82;0,96;8;0;76,6850614791938
1;0,98;0,83;1;8;0;76,6851107558184
1;0,99;0,84;0,9;8;0;76,6858165603755
1;0,99;0,88;0,97;8;0;76,6862585221309
1;1;0,83;0,88;8;0;76,6870918958524
1;0,98;0,85;0,93;8;0;76,6878131764477
1;0,99;0,85;0,89;8;0;76,6880303501742
1;0,97;0,86;0,98;8;0;76,6882979880425
1;1;0,81;0,94;8;0;76,6885800961647
1;0,99;0,83;0,92;8;0;76,6890342952662
1;0,97;0,88;0,99;8;0;76,6909439764089
1;0,97;0,87;0,97;8;0;76,6912232318532
1;1;0,86;0,87;8;0;76,6917860302568
1;0,98;0,84;0,95;8;0;76,6922880887366
1;1;0,8;1;8;0;76,6925121793042
1;0,9;1;0,99;8;0;76,6930309400377
1;1;0,88;0,95;8;0;76,6948061969793
1;0,98;0,86;0,92;8;0;76,6948099280394
1;1;0,82;0,9;8;0;76,6951493175
1;0,99;0,87;0,91;8;0;76,6951543686345
1;0,99;0,86;0,89;8;0;76,6960442268137
1;0,98;0,88;0,97;8;0;76,6962780520913
1;0,98;0,87;0,93;8;0;76,696602003508
1;0,98;0,83;0,99;8;0;76,6972181630511
1;0,99;0,88;0,96;8;0;76,6988824379503
1;1;0,85;0,86;8;0;76,6997826944155
1;1;0,87;0,89;8;0;76,7002510406696
1;0,97;0,86;0,97;8;0;76,7013723880521
1;0,99;0,82;0,95;8;0;76,7017731197173
1;0,97;0,88;0,98;8;0;76,7022780813426
1;0,97;0,85;1;8;0;76,7029230233472
1;0,9;1;0,98;8;0;76,7045288890961
1;0,97;0,87;0,96;8;0;76,7048967978021
1;1;0,8;0,99;8;0;76,7056970138322
1;0,98;0,85;0,92;8;0;76,7073140638925
1;1;0,81;0,93;8;0;76,7086125766113
1;0,98;0,88;0,96;8;0;76,7091273355583
1;1;0,88;0,94;8;0;76,7094690962152
1;0,98;0,84;0,94;8;0;76,7094779630303
1;0,98;0,83;0,98;8;0;76,7102816216518
