Delta.M1,Delta.Inter,Delta.COV,Delta.gravi,Ord.M1,Error
0.8,0.9,0.9,0.9,1,0.845849055
0.8,0.9,0.9,0.9,2,2.091898353
0.8,0.9,0.9,0.91,1,0.830723677
0.8,0.9,0.9,0.91,2,1.763742161
0.8,0.9,0.9,0.92,1,0.819092927
0.8,0.9,0.9,0.92,2,1.607794649
0.8,0.9,0.9,0.93,1,0.810116558
0.8,0.9,0.9,0.93,2,1.522016342
0.8,0.9,0.9,0.94,1,0.803533606
0.8,0.9,0.9,0.94,2,1.471171498
0.8,0.9,0.9,0.95,1,0.79853099
0.8,0.9,0.9,0.95,2,1.439896511
0.8,0.9,0.9,0.96,1,0.794489223
0.8,0.9,0.9,0.96,2,1.418963029
0.8,0.9,0.9,0.97,1,0.791114084
0.8,0.9,0.9,0.97,2,1.403732171
0.8,0.9,0.9,0.98,1,0.788454227
0.8,0.9,0.9,0.98,2,1.391946122
0.8,0.9,0.9,0.99,1,0.786502386
0.8,0.9,0.9,0.99,2,1.38236907
0.8,0.9,0.9,1,1,0.784643073
0.8,0.9,0.9,1,2,1.374453248
0.8,0.9,0.91,0.9,1,0.84524781
0.8,0.9,0.91,0.9,2,2.084769374
0.8,0.9,0.91,0.91,1,0.830231761
0.8,0.9,0.91,0.91,2,1.759860039
0.8,0.9,0.91,0.92,1,0.818684338
0.8,0.9,0.91,0.92,2,1.605333909
0.8,0.9,0.91,0.93,1,0.809772619
0.8,0.9,0.91,0.93,2,1.520282166
0.8,0.9,0.91,0.94,1,0.803238505
0.8,0.9,0.91,0.94,2,1.469863647
0.8,0.9,0.91,0.95,1,0.798273193
0.8,0.9,0.91,0.95,2,1.438839606
0.8,0.9,0.91,0.96,1,0.79425987
0.8,0.9,0.91,0.96,2,1.418071313
0.8,0.9,0.91,0.97,1,0.790906481
0.8,0.9,0.91,0.97,2,1.40295613
0.8,0.9,0.91,0.98,1,0.788284186
0.8,0.9,0.91,0.98,2,1.391255844
0.8,0.9,0.91,0.99,1,0.786343131
0.8,0.9,0.91,0.99,2,1.381745607
0.8,0.9,0.91,1,1,0.784492615
0.8,0.9,0.91,1,2,1.373883878
0.8,0.9,0.92,0.9,1,0.844695385
0.8,0.9,0.92,0.9,2,2.078445755
0.8,0.9,0.92,0.91,1,0.829778735
0.8,0.9,0.92,0.91,2,1.756402905
0.8,0.9,0.92,0.92,1,0.81830717
0.8,0.9,0.92,0.92,2,1.60313358
0.8,0.9,0.92,0.93,1,0.809454423
0.8,0.9,0.92,0.93,2,1.518725179
0.8,0.9,0.92,0.94,1,0.802964845
0.8,0.9,0.92,0.94,2,1.468684834
0.8,0.9,0.92,0.95,1,0.798033562
0.8,0.9,0.92,0.95,2,1.437883489
0.8,0.9,0.92,0.96,1,0.794046193
0.8,0.9,0.92,0.96,2,1.417262066
0.8,0.9,0.92,0.97,1,0.790712653
0.8,0.9,0.92,0.97,2,1.402249966
0.8,0.9,0.92,0.98,1,0.788124803
0.8,0.9,0.92,0.98,2,1.390626293
0.8,0.9,0.92,0.99,1,0.786193575
0.8,0.9,0.92,0.99,2,1.381175879
0.8,0.9,0.92,1,1,0.784351074
0.8,0.9,0.92,1,2,1.373362685
0.8,0.9,0.93,0.9,1,0.84418724
0.8,0.9,0.93,0.9,2,2.072820493
0.8,0.9,0.93,0.91,1,0.829361121
0.8,0.9,0.93,0.91,2,1.753316883
0.8,0.9,0.93,0.92,1,0.817958714
0.8,0.9,0.93,0.92,2,1.601162155
0.8,0.9,0.93,0.93,1,0.809159822
0.8,0.9,0.93,0.93,2,1.517324855
0.8,0.9,0.93,0.94,1,0.802710885
0.8,0.9,0.93,0.94,2,1.467620639
0.8,0.9,0.93,0.95,1,0.797810658
0.8,0.9,0.93,0.95,2,1.437017253
0.8,0.9,0.93,0.96,1,0.793846972
0.8,0.9,0.93,0.96,2,1.4165266
0.8,0.9,0.93,0.97,1,0.790531541
0.8,0.9,0.93,0.97,2,1.40160648
0.8,0.9,0.93,0.98,1,0.787975303
0.8,0.9,0.93,0.98,2,1.390051332
0.8,0.9,0.93,0.99,1,0.786053019
0.8,0.9,0.93,0.99,2,1.380654551
0.8,0.9,0.93,1,1,0.784217817
0.8,0.9,0.93,1,2,1.372884962
0.8,0.9,0.94,0.9,1,0.843719247
0.8,0.9,0.94,0.9,2,2.067802591
0.8,0.9,0.94,0.91,1,0.828975733
0.8,0.9,0.94,0.91,2,1.750555656
0.8,0.9,0.94,0.92,1,0.817636474
0.8,0.9,0.94,0.92,2,1.599392278
0.8,0.9,0.94,0.93,1,0.808886827
0.8,0.9,0.94,0.93,2,1.516063218
0.8,0.9,0.94,0.94,1,0.802475011
0.8,0.9,0.94,0.94,2,1.466658345
0.8,0.9,0.94,0.95,1,0.79760314
0.8,0.9,0.94,0.95,2,1.436231228
0.8,0.9,0.94,0.96,1,0.793661069
0.8,0.9,0.94,0.96,2,1.415857176
0.8,0.9,0.94,0.97,1,0.790362161
0.8,0.9,0.94,0.97,2,1.401019235
0.8,0.9,0.94,0.98,1,0.787834954
0.8,0.9,0.94,0.98,2,1.389525458
0.8,0.9,0.94,0.99,1,0.785920807
0.8,0.9,0.94,0.99,2,1.380176825
0.8,0.9,0.94,1,1,0.784092249
0.8,0.9,0.94,1,2,1.372446465
0.8,0.9,0.95,0.9,1,0.843287649
0.8,0.9,0.95,0.9,2,2.063314407
0.8,0.9,0.95,0.91,1,0.828619661
0.8,0.9,0.95,0.91,2,1.748079314
0.8,0.9,0.95,0.92,1,0.817338159
0.8,0.9,0.95,0.92,2,1.597800157
0.8,0.9,0.95,0.93,1,0.808633605
0.8,0.9,0.95,0.93,2,1.51492451
0.8,0.9,0.95,0.94,1,0.802255727
0.8,0.9,0.95,0.94,2,1.465786739
0.8,0.9,0.95,0.95,1,0.797409765
0.8,0.9,0.95,0.95,2,1.435516842
0.8,0.9,0.95,0.96,1,0.793487429
0.8,0.9,0.95,0.96,2,1.415246904
0.8,0.9,0.95,0.97,1,0.790203598
0.8,0.9,0.95,0.97,2,1.400482485
0.8,0.9,0.95,0.98,1,0.787703073
0.8,0.9,0.95,0.98,2,1.389043743
0.8,0.9,0.95,0.99,1,0.785796325
0.8,0.9,0.95,0.99,2,1.379738392
0.8,0.9,0.95,1,1,0.783973809
0.8,0.9,0.95,1,2,1.372043375
0.8,0.9,0.96,0.9,1,0.842889045
0.8,0.9,0.96,0.9,2,2.059289493
0.8,0.9,0.96,0.91,1,0.828290247
0.8,0.9,0.96,0.91,2,1.745853394
0.8,0.9,0.96,0.92,1,0.817061668
0.8,0.9,0.96,0.92,2,1.596365075
0.8,0.9,0.96,0.93,1,0.808398469
0.8,0.9,0.96,0.93,2,1.513894908
0.8,0.9,0.96,0.94,1,0.802051657
0.8,0.9,0.96,0.94,2,1.464995924
0.8,0.9,0.96,0.95,1,0.797229386
0.8,0.9,0.96,0.95,2,1.434866493
0.8,0.9,0.96,0.96,1,0.793325076
0.8,0.9,0.96,0.96,2,1.414689655
0.8,0.9,0.96,0.97,1,0.790055004
0.8,0.9,0.96,0.97,2,1.399991097
0.8,0.9,0.96,0.98,1,0.787579021
0.8,0.9,0.96,0.98,2,1.388601776
0.8,0.9,0.96,0.99,1,0.785678998
0.8,0.9,0.96,0.99,2,1.379335387
0.8,0.9,0.96,1,1,0.783861976
0.8,0.9,0.96,1,2,1.371672256
0.8,0.9,0.97,0.9,1,0.842520351
0.8,0.9,0.97,0.9,2,2.055670809
0.8,0.9,0.97,0.91,1,0.827985076
0.8,0.9,0.97,0.91,2,1.74384807
0.8,0.9,0.97,0.92,1,0.816805079
0.8,0.9,0.97,0.92,2,1.595068965
0.8,0.9,0.97,0.93,1,0.80817987
0.8,0.9,0.97,0.93,2,1.512962277
0.8,0.9,0.97,0.94,1,0.80186153
0.8,0.9,0.97,0.94,2,1.464277169
0.8,0.9,0.97,0.95,1,0.797060942
0.8,0.9,0.97,0.95,2,1.434273443
0.8,0.9,0.97,0.96,1,0.793173108
0.8,0.9,0.97,0.96,2,1.414179974
0.8,0.9,0.97,0.97,1,0.789915595
0.8,0.9,0.97,0.97,2,1.399540496
0.8,0.9,0.97,0.98,1,0.787462202
0.8,0.9,0.97,0.98,2,1.388195611
0.8,0.9,0.97,0.99,1,0.785568291
0.8,0.9,0.97,0.99,2,1.378964343
0.8,0.9,0.97,1,1,0.783756264
0.8,0.9,0.97,1,2,1.371330025
0.8,0.9,0.98,0.9,1,0.842178784
0.8,0.9,0.98,0.9,2,2.052409255
0.8,0.9,0.98,0.91,1,0.827701953
0.8,0.9,0.98,0.91,2,1.74203748
0.8,0.9,0.98,0.92,1,0.816566641
0.8,0.9,0.98,0.92,2,1.59389605
0.8,0.9,0.98,0.93,1,0.807976391
0.8,0.9,0.98,0.93,2,1.512115952
0.8,0.9,0.98,0.94,1,0.801684182
0.8,0.9,0.98,0.94,2,1.463622762
0.8,0.9,0.98,0.95,1,0.79690346
0.8,0.9,0.98,0.95,2,1.43373172
0.8,0.9,0.98,0.96,1,0.793030692
0.8,0.9,0.98,0.96,2,1.413713011
0.8,0.9,0.98,0.97,1,0.789784648
0.8,0.9,0.98,0.97,2,1.399126597
0.8,0.9,0.98,0.98,1,0.787352066
0.8,0.9,0.98,0.98,2,1.387821722
0.8,0.9,0.98,0.99,1,0.785463707
0.8,0.9,0.98,0.99,2,1.378622159
0.8,0.9,0.98,1,1,0.78365622
0.8,0.9,0.98,1,2,1.371013912
0.8,0.9,0.99,0.9,1,0.841861831
0.8,0.9,0.99,0.9,2,2.04946245
0.8,0.9,0.99,0.91,1,0.827438887
