"Faixa Etária 1";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Menor 1 ano";66099;63640;55392;51969;50760;51919;48089;46205;42563;31123;507759
"1 a 4 anos";59465;63141;60042;64085;72708;81783;77124;80365;84743;64561;708017
"5 a 9 anos";14069;15129;15354;16135;20121;23005;21012;23274;26166;22366;196631
"10 a 14 anos";8558;8725;8410;8559;10223;10777;9620;10870;11811;11122;98675
"15 a 19 anos";7938;8069;7397;7558;7979;8302;7608;8386;8991;8215;80443
"20 a 29 anos";15467;15505;14280;14519;15755;16074;14821;16604;17876;16435;157336
"30 a 39 anos";13474;13629;11927;12441;13050;12987;11739;13242;14022;12799;129310
"40 a 49 anos";12114;11959;10511;11058;11590;11796;10792;12035;12981;11844;116680
"50 a 59 anos";11900;12259;10272;10669;11230;11999;10948;11980;13014;11714;115985
"60 a 69 anos";11968;12299;10600;11009;11323;12397;11298;12454;13794;11968;119110
"70 a 79 anos";10772;11025;9262;10222;10705;12120;10823;11940;13300;11814;111983
"80 anos e mais";7078;7564;6452;7350;7803;8862;8388;9194;10151;9245;82087
"Total";238902;242944;219899;225574;243247;262021;242262;256549;269412;223206;2424016
