"Faixa Etária 1";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"Menor 1 ano";1827;29236;27215;27235;20405;21035;18093;17244;14143;16560;13030;13698;13702;7985;2460;243868
"1 a 4 anos";3291;66383;60180;70660;51365;54816;50900;49942;34659;44285;34974;33727;33893;18227;5918;613220
"5 a 9 anos";1020;22908;21958;26207;20823;20578;21334;20914;14683;17360;14993;12761;13074;7385;2012;238010
"10 a 14 anos";525;10885;11143;11777;10446;9547;9700;8571;7033;7123;6583;5859;5747;3534;867;109340
"15 a 19 anos";409;8303;8405;8874;7915;7876;7662;6829;5789;5309;5003;4668;4394;2684;658;84778
"20 a 29 anos";891;16659;16928;17763;15151;14335;13511;11858;10467;9186;8372;8251;7717;5205;1327;157621
"30 a 39 anos";685;13173;13442;14006;12235;12183;11739;10629;8907;8043;7264;7158;6730;4748;1190;132132
"40 a 49 anos";602;12389;12606;13086;11120;10702;10278;9154;8092;7390;6489;6511;6200;4368;1106;120093
"50 a 59 anos";671;12407;12358;12930;11084;10782;10940;9569;8878;8121;7331;7181;7046;4425;1131;124854
"60 a 69 anos";637;12863;12694;13198;11266;11233;11774;10045;9200;9029;8194;7900;7916;5240;1259;132448
"70 a 79 anos";617;12659;12666;13556;11432;11425;12177;10482;9661;9249;8444;8260;8146;5207;1214;135195
"80 anos e mais";500;10638;10514;11337;9765;9777;10934;9169;8677;8556;8323;8035;8347;5006;1186;120764
"Total";11675;228503;220109;240629;193007;194289;189042;174406;140189;150211;129000;124009;122912;74014;20328;2212323
 
