"Faixa Etária 1";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Menor 1 ano";706;629;413;320;266;278;242;200;141;123;3318
"1 a 4 anos";109;99;72;51;58;69;54;56;51;40;659
"5 a 9 anos";10;10;8;10;6;2;6;5;8;9;74
"10 a 14 anos";3;5;8;5;3;10;4;2;6;8;54
"15 a 19 anos";10;9;2;2;8;4;7;4;4;7;57
"20 a 29 anos";27;28;44;34;45;18;30;22;22;26;296
"30 a 39 anos";71;58;71;55;62;48;50;54;47;54;570
"40 a 49 anos";85;95;96;91;64;77;78;93;76;100;855
"50 a 59 anos";113;105;120;102;115;105;114;94;96;95;1059
"60 a 69 anos";147;136;145;152;137;133;134;153;164;136;1437
"70 a 79 anos";215;216;214;181;206;225;230;244;260;225;2216
"80 anos e mais";227;302;250;237;260;293;285;295;325;331;2805
"TOTAL";1723;1692;1443;1240;1230;1262;1234;1222;1200;1154;13400
