"Faixa Etária 1";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"Menor 1 ano";9;119;108;95;74;65;86;81;49;58;56;45;56;33;13;947
"1 a 4 anos";3;42;44;52;27;34;36;20;17;24;18;24;23;15;5;384
"5 a 9 anos";0;11;16;15;11;5;11;7;10;6;7;5;8;4;1;117
"10 a 14 anos";0;8;5;11;7;10;10;4;5;7;1;8;6;2;0;84
"15 a 19 anos";1;2;4;7;4;8;11;4;6;3;8;6;3;2;0;69
"20 a 29 anos";3;31;33;29;34;31;25;28;18;22;23;24;20;13;3;337
"30 a 39 anos";2;58;44;75;62;58;53;50;36;45;38;43;42;23;7;636
"40 a 49 anos";6;103;96;91;69;86;79;80;73;90;71;73;69;48;19;1053
"50 a 59 anos";10;149;156;145;130;110;126;117;122;126;141;125;120;90;33;1700
"60 a 69 anos";16;236;214;247;207;166;186;196;199;202;207;216;238;190;61;2781
"70 a 79 anos";19;423;333;391;317;325;353;317;327;324;331;347;362;251;54;4474
"80 anos e mais";31;622;555;567;530;506;616;537;529;590;615;555;713;449;111;7526
"Total";100;1804;1608;1725;1472;1404;1592;1441;1391;1497;1516;1471;1660;1120;307;20108
 
