"Faixa Etária 1";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Menor 01 ano";327;552;231;247;299;945;824;557;679;579;5240
"01 a 04 anos";512;1023;509;636;1039;4228;2868;2366;2822;2243;18246
"05 a 09 anos";197;305;233;267;476;1692;1076;853;1057;733;6889
"10 a 14 anos";92;107;88;95;193;536;348;292;345;254;2350
"15 a 19 anos";32;45;35;41;43;77;55;43;40;54;465
"20 a 29 anos";69;81;65;79;71;65;37;59;68;90;684
"30 a 39 anos";72;82;77;72;71;61;45;66;61;55;662
"40 a 49 anos";66;60;54;70;63;56;53;53;49;46;570
"50 a 59 anos";38;41;45;64;54;51;30;51;44;64;482
"60 a 69 anos";53;48;58;66;38;42;25;41;49;45;465
"70 a 79 anos";48;52;60;39;25;27;21;28;23;44;367
"80 anos e mais";22;25;33;24;14;11;12;17;21;24;203
"Total";1528;2421;1488;1700;2386;7791;5394;4426;5258;4231;36623
