"Faixa Etária 1";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Menor 01 ano";0;6;1;1;2;5;3;3;4;5;30
"01 a 04 anos";6;4;2;1;3;9;12;4;4;6;51
"05 a 09 anos";1;1;3;4;0;7;4;4;6;4;34
"10 a 14 anos";1;0;1;1;0;3;4;3;3;0;16
"15 a 19 anos";2;1;0;2;1;1;1;1;1;1;11
"20 a 29 anos";3;0;2;0;0;0;0;0;0;2;7
"30 a 39 anos";2;1;3;2;2;1;2;3;2;3;21
"40 a 49 anos";0;3;3;3;0;2;2;3;5;2;23
"50 a 59 anos";0;1;3;1;0;0;1;9;5;2;22
"60 a 69 anos";0;0;1;0;0;1;2;7;6;4;21
"70 a 79 anos";1;1;0;0;0;1;0;4;6;4;17
"80 anos e mais";1;1;0;1;0;2;1;1;2;1;10
"Total";17;19;19;16;8;32;32;42;44;34;263
