"Faixa Etária 1";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"Menor 01 ano";1;21;17;20;15;16;24;16;10;10;5;7;6;8;2;178
"01 a 04 anos";0;8;11;13;9;11;14;7;2;5;6;1;1;2;0;90
"05 a 09 anos";0;4;10;7;4;2;5;3;2;4;1;0;3;1;0;46
"10 a 14 anos";0;3;0;5;3;5;7;3;0;1;0;0;1;0;0;28
"15 a 19 anos";0;1;2;3;2;5;3;2;1;0;1;1;1;0;0;22
"20 a 29 anos";1;10;18;5;10;9;6;6;7;3;6;1;3;4;0;89
"30 a 39 anos";1;29;16;18;10;7;12;10;6;13;7;8;6;7;2;152
"40 a 49 anos";2;35;33;23;15;19;20;13;14;18;21;20;19;16;6;274
"50 a 59 anos";7;64;54;57;27;28;40;32;29;27;29;38;29;24;7;492
"60 a 69 anos";3;95;82;83;63;43;49;41;51;41;57;61;59;61;18;807
"70 a 79 anos";14;200;106;120;75;74;80;74;58;79;77;105;94;61;23;1240
"80 anos e mais";19;273;194;167;138;115;162;126;151;129;126;136;188;99;35;2058
"Total";48;743;543;521;371;334;422;333;331;330;336;378;410;283;93;5476
 
